City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
225,puerto leguizamo,68,CO,1544316772,99,-0.19,-74.78,71.68,2.62
226,tsabong,0,BW,1544316772,20,-26.02,22.4,68.12,12.24
227,kumylzhenskaya,56,RU,1544316773,83,49.88,42.59,14.71,4.63
228,te anau,80,NZ,1544316773,70,-45.41,167.72,63.58,9.66
229,luau,92,CD,1544316774,100,-10.7,22.23,65.42,2.39
230,miandrivazo,32,MG,1544316774,94,-19.53,45.46,70.1,2.95
231,mahebourg,40,MU,1544313600,88,-20.41,57.7,77.0,10.29
232,sitka,0,US,1544316775,66,37.17,-99.65,28.97,3.62
233,borzya,0,RU,1544316775,39,50.39,116.53,-26.97,3.06
234,codrington,75,AU,1544313600,61,-28.95,153.24,80.6,5.82
235,esmeralda,32,CL,1544316775,60,-34.33,-70.9,58.13,1.83
236,kot diji,0,PK,1544316776,87,27.34,68.71,55.03,7.43
237,erenhot,0,CN,1544316592,34,43.65,111.97,-24.9,3.96
238,poum,88,MK,1544316776,96,41.28,20.71,30.91,1.16
239,soyo,92,AO,1544316776,99,-6.13,12.37,73.52,2.62
240,awjilah,0,LY,1544316777,80,29.14,21.3,43.24,2.73
241,talnakh,76,RU,1544316586,73,69.49,88.39,-2.8,17.6
242,nagapattinam,64,IN,1544316777,76,10.76,79.84,78.83,11.01
243,aksay,20,RU,1544315400,92,47.27,39.86,24.8,6.71
244,surt,24,LY,1544316778,100,31.21,16.59,58.94,11.34
245,razdolnoye,88,RU,1544316778,98,43.7,44.53,33.88,3.4
246,hasaki,75,JP,1544315400,52,35.73,140.83,44.6,13.87
247,lensk,64,RU,1544316539,75,60.71,114.91,-11.89,3.85
248,oktyabrskoye,40,RU,1544315400,84,56.73,85.44,5.0,6.71
249,wexford,40,US,1544314620,71,40.63,-80.06,24.8,3.36
250,bandarbeyla,92,SO,1544316553,100,9.49,50.81,78.29,13.8
251,presidente epitacio,0,BR,1544316630,41,-21.76,-52.12,78.29,9.22
252,dickinson,1,US,1544313360,70,46.88,-102.79,19.94,6.93
253,pingliang,0,CN,1544316780,67,35.54,106.68,-1.18,2.62
254,buenos aires,0,AR,1544313600,68,-34.61,-58.44,69.8,6.93
255,le port,0,FR,1544316782,78,42.87,1.37,28.21,2.73
256,bambous virieux,40,MU,1544313600,88,-20.34,57.76,77.0,10.29
257,atar,0,MR,1544316659,33,20.52,-13.05,59.44,7.54
258,hovd,90,NO,1544314800,95,63.83,10.7,33.8,10.29
259,glenwood springs,75,US,1544315520,92,39.55,-107.33,17.6,8.05
260,taltal,24,CL,1544316783,67,-25.41,-70.49,61.33,2.17
261,yar-sale,80,RU,1544316783,88,66.83,70.83,15.11,5.75
262,kautokeino,80,NO,1544316784,82,69.01,23.04,6.47,2.84
263,abu kamal,12,SY,1544316519,95,34.45,40.92,48.68,3.51
264,havre-saint-pierre,90,CA,1544313600,77,50.23,-63.6,6.8,4.7
265,eyl,44,SO,1544316784,100,7.98,49.82,75.73,13.24
266,kempele,92,FI,1544314800,92,64.91,25.51,30.2,14.99
267,ponta do sol,0,BR,1544316785,66,-20.63,-46.0,66.14,12.12
268,yasnyy,80,RU,1544316785,73,64.04,44.09,20.42,8.99
269,lazo,92,MD,1544316786,100,47.89,27.93,32.39,4.29
270,wuchang,0,CN,1544316786,69,44.93,127.16,-9.82,7.87
271,leningradskiy,36,RU,1544316786,95,69.38,178.42,0.58,11.56
272,tiksi,12,RU,1544316787,77,71.64,128.87,-37.99,3.06
273,jiuquan,0,CN,1544316605,26,39.73,98.49,-22.65,0.38
274,nanakuli,40,US,1544314860,78,21.39,-158.15,78.08,16.11
275,rovaniemi,90,FI,1544314800,92,66.5,25.72,26.6,6.93
276,cabedelo,40,BR,1544313600,83,-6.97,-34.84,80.6,5.82
277,maningrida,0,AU,1544316530,84,-12.05,134.23,88.82,4.63
278,magnitka,68,RU,1544316788,66,55.34,59.7,9.8,2.39
279,solwezi,44,ZM,1544316788,97,-12.18,26.4,63.13,7.31
280,polunochnoye,68,RU,1544316789,65,60.87,60.43,10.93,3.18
281,acapulco,5,MX,1544312700,78,16.86,-99.88,82.4,6.2
282,haines junction,76,CA,1544316515,77,60.75,-137.51,32.53,7.65
283,alyangula,0,AU,1544313600,62,-13.85,136.42,89.6,8.05
284,bilibino,64,RU,1544316790,70,68.06,166.44,-37.05,2.51
285,rocha,0,UY,1544316646,52,-34.48,-54.34,64.79,6.98
286,northam,92,GB,1544313000,81,51.04,-4.21,50.0,25.28
287,sangar,44,RU,1544316790,89,63.92,127.47,-40.51,3.18
288,manhattan,1,US,1544313360,68,39.18,-96.57,31.1,6.76
289,meulaboh,8,ID,1544316558,100,4.14,96.13,78.16,3.18
290,hobyo,92,SO,1544316655,83,5.35,48.53,78.43,13.91
291,mount gambier,75,AU,1544313600,68,-37.83,140.78,66.2,12.75
292,port alfred,80,ZA,1544316791,97,-33.59,26.89,65.33,9.33
293,jiutai,0,CN,1544313600,54,44.15,125.84,1.4,4.47
294,auki,0,NG,1544316666,47,12.18,6.51,61.19,5.08
295,ballina,92,IE,1544316736,98,54.11,-9.15,46.61,18.05
296,amahai,0,ID,1544316792,100,-3.31,129.0,84.68,8.99
297,vila do maio,20,CV,1544313600,64,15.13,-23.22,75.2,11.41
298,luebo,88,CD,1544316793,98,-5.35,21.42,70.06,2.17
299,xinpu,75,TW,1544315400,88,24.83,121.07,64.4,18.34
300,santiago del estero,48,AR,1544316794,49,-27.8,-64.26,80.99,16.04
301,rio cuarto,20,AR,1544313600,31,-33.13,-64.35,77.0,9.17
302,charters towers,92,AU,1544316794,98,-20.07,146.27,68.53,19.84
303,huilong,100,CN,1544316547,86,28.89,110.18,25.91,4.18
304,pangnirtung,12,CA,1544316795,70,66.15,-65.72,-15.85,1.95
305,fortuna,0,ES,1544313600,93,38.18,-1.13,51.8,5.82
306,liwale,0,TZ,1544316795,89,-9.8,37.92,72.49,4.18
307,savannah bight,24,HN,1544316796,91,16.45,-85.85,83.42,17.94
308,san carlos de bariloche,40,AR,1544313600,71,-41.13,-71.31,53.6,21.92
309,nakhon si thammarat,90,TH,1544313600,100,8.43,99.96,75.2,11.41
310,diego de almagro,0,CL,1544316796,46,-26.39,-70.05,64.97,2.95
311,san fernando,20,TT,1544313600,78,10.28,-61.46,78.8,3.36
312,rimbey,20,CA,1544313600,78,52.64,-114.24,10.4,4.7
313,mastic beach,1,US,1544315700,53,40.77,-72.85,30.2,5.82
314,tromso,0,NO,1544314800,92,69.65,18.96,15.8,4.7
315,skibbereen,20,IE,1544315400,81,51.55,-9.27,46.4,25.28
316,grootfontein,0,NA,1544316798,26,-19.56,18.1,64.21,11.34
317,kharan,0,PK,1544316799,83,28.58,65.42,44.09,3.51
318,novovasylivka,32,UA,1544316799,94,48.2,37.04,23.53,10.78
319,torbay,90,CA,1544313600,100,47.66,-52.73,28.4,16.11
320,kirakira,12,SB,1544316577,100,-10.46,161.92,85.18,5.53
